[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.64762	validation_0-mlogloss:5.21166	validation_1-merror:0.71191	validation_1-mlogloss:5.29934
[214]	validation_0-merror:0.01127	validation_0-mlogloss:0.18529	validation_1-merror:0.44158	validation_1-mlogloss:1.98462
[215]	validation_0-merror:0.01118	validation_0-mlogloss:0.18377	validation_1-merror:0.44158	validation_1-mlogloss:1.98324
[216]	validation_0-merror:0.01118	validation_0-mlogloss:0.18226	validation_1-merror:0.44130	validation_1-mlogloss:1.98207
[217]	validation_0-merror:0.01109	validation_0-mlogloss:0.18083	validation_1-merror:0.44074	validation_1-mlogloss:1.98092
[218]	validation_0-merror:0.01099	validation_0-mlogloss:0.17941	validation_1-merror:0.44074	validation_1-mlogloss:1.97956
[219]	validation_0-merror:0.01086	validation_0-mlogloss:0.17801	validation_1-merror:0.44074	validation_1-mlogloss:1.97848
[220]	validation_0-merror:0.01086	validation_0-mlogloss:0.17663	validation_1-merror:0.44019	validation_1-mlogloss:1.97729
[221]	validation_0-merror:0.01076	validation_0-mlogloss:0.17526	validation_1-merror:0.44074	validation_1-mlogloss:1.97614
[222]	validation_0-merror:0.01072	validation_0-mlogloss:0.17393	validation_1-merror:0.44019	validation_1-mlogloss:1.97502
[223]	validation_0-merror:0.01072	validation_0-mlogloss:0.17258	validation_1-merror:0.43963	validation_1-mlogloss:1.97381
[224]	validation_0-merror:0.01072	validation_0-mlogloss:0.17129	validation_1-merror:0.43936	validation_1-mlogloss:1.97282
[225]	validation_0-merror:0.01063	validation_0-mlogloss:0.17005	validation_1-merror:0.43936	validation_1-mlogloss:1.97176
[226]	validation_0-merror:0.01044	validation_0-mlogloss:0.16874	validation_1-merror:0.43825	validation_1-mlogloss:1.97064
[227]	validation_0-merror:0.01039	validation_0-mlogloss:0.16747	validation_1-merror:0.43714	validation_1-mlogloss:1.96973
[228]	validation_0-merror:0.01035	validation_0-mlogloss:0.16621	validation_1-merror:0.43714	validation_1-mlogloss:1.96846
[229]	validation_0-merror:0.01021	validation_0-mlogloss:0.16495	validation_1-merror:0.43714	validation_1-mlogloss:1.96752
[230]	validation_0-merror:0.01007	validation_0-mlogloss:0.16377	validation_1-merror:0.43714	validation_1-mlogloss:1.96659
[231]	validation_0-merror:0.00993	validation_0-mlogloss:0.16254	validation_1-merror:0.43714	validation_1-mlogloss:1.96553
[232]	validation_0-merror:0.00984	validation_0-mlogloss:0.16136	validation_1-merror:0.43741	validation_1-mlogloss:1.96446
[233]	validation_0-merror:0.00975	validation_0-mlogloss:0.16021	validation_1-merror:0.43686	validation_1-mlogloss:1.96356
[234]	validation_0-merror:0.00970	validation_0-mlogloss:0.15900	validation_1-merror:0.43714	validation_1-mlogloss:1.96266
[235]	validation_0-merror:0.00970	validation_0-mlogloss:0.15787	validation_1-merror:0.43686	validation_1-mlogloss:1.96176
[236]	validation_0-merror:0.00970	validation_0-mlogloss:0.15674	validation_1-merror:0.43658	validation_1-mlogloss:1.96091
[237]	validation_0-merror:0.00961	validation_0-mlogloss:0.15561	validation_1-merror:0.43686	validation_1-mlogloss:1.95997
[238]	validation_0-merror:0.00961	validation_0-mlogloss:0.15453	validation_1-merror:0.43658	validation_1-mlogloss:1.95909
[239]	validation_0-merror:0.00956	validation_0-mlogloss:0.15347	validation_1-merror:0.43658	validation_1-mlogloss:1.95824
[240]	validation_0-merror:0.00947	validation_0-mlogloss:0.15245	validation_1-merror:0.43658	validation_1-mlogloss:1.95724
[241]	validation_0-merror:0.00933	validation_0-mlogloss:0.15139	validation_1-merror:0.43603	validation_1-mlogloss:1.95636
[242]	validation_0-merror:0.00924	validation_0-mlogloss:0.15041	validation_1-merror:0.43658	validation_1-mlogloss:1.95537
[243]	validation_0-merror:0.00915	validation_0-mlogloss:0.14939	validation_1-merror:0.43603	validation_1-mlogloss:1.95463
[244]	validation_0-merror:0.00901	validation_0-mlogloss:0.14837	validation_1-merror:0.43630	validation_1-mlogloss:1.95381
[245]	validation_0-merror:0.00892	validation_0-mlogloss:0.14737	validation_1-merror:0.43603	validation_1-mlogloss:1.95293
[246]	validation_0-merror:0.00892	validation_0-mlogloss:0.14636	validation_1-merror:0.43519	validation_1-mlogloss:1.95218
[247]	validation_0-merror:0.00878	validation_0-mlogloss:0.14538	validation_1-merror:0.43492	validation_1-mlogloss:1.95146
[248]	validation_0-merror:0.00873	validation_0-mlogloss:0.14445	validation_1-merror:0.43464	validation_1-mlogloss:1.95085
[249]	validation_0-merror:0.00868	validation_0-mlogloss:0.14355	validation_1-merror:0.43408	validation_1-mlogloss:1.95017
[250]	validation_0-merror:0.00868	validation_0-mlogloss:0.14264	validation_1-merror:0.43519	validation_1-mlogloss:1.94937
[251]	validation_0-merror:0.00868	validation_0-mlogloss:0.14173	validation_1-merror:0.43492	validation_1-mlogloss:1.94858
[252]	validation_0-merror:0.00864	validation_0-mlogloss:0.14082	validation_1-merror:0.43519	validation_1-mlogloss:1.94787
[253]	validation_0-merror:0.00845	validation_0-mlogloss:0.13995	validation_1-merror:0.43519	validation_1-mlogloss:1.94699
[254]	validation_0-merror:0.00836	validation_0-mlogloss:0.13909	validation_1-merror:0.43381	validation_1-mlogloss:1.94614
[255]	validation_0-merror:0.00832	validation_0-mlogloss:0.13825	validation_1-merror:0.43436	validation_1-mlogloss:1.94538
[256]	validation_0-merror:0.00832	validation_0-mlogloss:0.13739	validation_1-merror:0.43436	validation_1-mlogloss:1.94480
[257]	validation_0-merror:0.00822	validation_0-mlogloss:0.13651	validation_1-merror:0.43381	validation_1-mlogloss:1.94412
[258]	validation_0-merror:0.00808	validation_0-mlogloss:0.13562	validation_1-merror:0.43381	validation_1-mlogloss:1.94336
[259]	validation_0-merror:0.00808	validation_0-mlogloss:0.13475	validation_1-merror:0.43436	validation_1-mlogloss:1.94261
[260]	validation_0-merror:0.00799	validation_0-mlogloss:0.13396	validation_1-merror:0.43464	validation_1-mlogloss:1.94198
[261]	validation_0-merror:0.00799	validation_0-mlogloss:0.13320	validation_1-merror:0.43436	validation_1-mlogloss:1.94123
[262]	validation_0-merror:0.00799	validation_0-mlogloss:0.13241	validation_1-merror:0.43408	validation_1-mlogloss:1.94057
[263]	validation_0-merror:0.00799	validation_0-mlogloss:0.13164	validation_1-merror:0.43408	validation_1-mlogloss:1.94004
[264]	validation_0-merror:0.00799	validation_0-mlogloss:0.13083	validation_1-merror:0.43381	validation_1-mlogloss:1.93933
[265]	validation_0-merror:0.00799	validation_0-mlogloss:0.13007	validation_1-merror:0.43381	validation_1-mlogloss:1.93863
[266]	validation_0-merror:0.00795	validation_0-mlogloss:0.12934	validation_1-merror:0.43436	validation_1-mlogloss:1.93794
[267]	validation_0-merror:0.00781	validation_0-mlogloss:0.12857	validation_1-merror:0.43381	validation_1-mlogloss:1.93739
[268]	validation_0-merror:0.00781	validation_0-mlogloss:0.12786	validation_1-merror:0.43381	validation_1-mlogloss:1.93678
[269]	validation_0-merror:0.00781	validation_0-mlogloss:0.12716	validation_1-merror:0.43381	validation_1-mlogloss:1.93622
[270]	validation_0-merror:0.00781	validation_0-mlogloss:0.12644	validation_1-merror:0.43353	validation_1-mlogloss:1.93547
[271]	validation_0-merror:0.00781	validation_0-mlogloss:0.12574	validation_1-merror:0.43408	validation_1-mlogloss:1.93492
[272]	validation_0-merror:0.00762	validation_0-mlogloss:0.12507	validation_1-merror:0.43464	validation_1-mlogloss:1.93437
[273]	validation_0-merror:0.00753	validation_0-mlogloss:0.12439	validation_1-merror:0.43436	validation_1-mlogloss:1.93366
[274]	validation_0-merror:0.00753	validation_0-mlogloss:0.12374	validation_1-merror:0.43381	validation_1-mlogloss:1.93306
[275]	validation_0-merror:0.00748	validation_0-mlogloss:0.12306	validation_1-merror:0.43297	validation_1-mlogloss:1.93248
[276]	validation_0-merror:0.00748	validation_0-mlogloss:0.12245	validation_1-merror:0.43325	validation_1-mlogloss:1.93194
[277]	validation_0-merror:0.00748	validation_0-mlogloss:0.12182	validation_1-merror:0.43269	validation_1-mlogloss:1.93136
[278]	validation_0-merror:0.00748	validation_0-mlogloss:0.12118	validation_1-merror:0.43297	validation_1-mlogloss:1.93094
[279]	validation_0-merror:0.00739	validation_0-mlogloss:0.12057	validation_1-merror:0.43297	validation_1-mlogloss:1.93049
[280]	validation_0-merror:0.00739	validation_0-mlogloss:0.11997	validation_1-merror:0.43353	validation_1-mlogloss:1.92988
[281]	validation_0-merror:0.00739	validation_0-mlogloss:0.11941	validation_1-merror:0.43325	validation_1-mlogloss:1.92939
[282]	validation_0-merror:0.00739	validation_0-mlogloss:0.11885	validation_1-merror:0.43353	validation_1-mlogloss:1.92893
[283]	validation_0-merror:0.00735	validation_0-mlogloss:0.11828	validation_1-merror:0.43325	validation_1-mlogloss:1.92855
[284]	validation_0-merror:0.00735	validation_0-mlogloss:0.11772	validation_1-merror:0.43297	validation_1-mlogloss:1.92807
[285]	validation_0-merror:0.00735	validation_0-mlogloss:0.11721	validation_1-merror:0.43297	validation_1-mlogloss:1.92760
[286]	validation_0-merror:0.00735	validation_0-mlogloss:0.11665	validation_1-merror:0.43297	validation_1-mlogloss:1.92711
[287]	validation_0-merror:0.00725	validation_0-mlogloss:0.11614	validation_1-merror:0.43353	validation_1-mlogloss:1.92669
[288]	validation_0-merror:0.00725	validation_0-mlogloss:0.11567	validation_1-merror:0.43297	validation_1-mlogloss:1.92626
[289]	validation_0-merror:0.00725	validation_0-mlogloss:0.11515	validation_1-merror:0.43353	validation_1-mlogloss:1.92583
[290]	validation_0-merror:0.00725	validation_0-mlogloss:0.11468	validation_1-merror:0.43297	validation_1-mlogloss:1.92537
[291]	validation_0-merror:0.00725	validation_0-mlogloss:0.11421	validation_1-merror:0.43325	validation_1-mlogloss:1.92509
[292]	validation_0-merror:0.00725	validation_0-mlogloss:0.11375	validation_1-merror:0.43297	validation_1-mlogloss:1.92468
[293]	validation_0-merror:0.00721	validation_0-mlogloss:0.11331	validation_1-merror:0.43297	validation_1-mlogloss:1.92432
[294]	validation_0-merror:0.00716	validation_0-mlogloss:0.11285	validation_1-merror:0.43325	validation_1-mlogloss:1.92389
[295]	validation_0-merror:0.00716	validation_0-mlogloss:0.11241	validation_1-merror:0.43353	validation_1-mlogloss:1.92349
[296]	validation_0-merror:0.00711	validation_0-mlogloss:0.11197	validation_1-merror:0.43353	validation_1-mlogloss:1.92314
[297]	validation_0-merror:0.00707	validation_0-mlogloss:0.11155	validation_1-merror:0.43297	validation_1-mlogloss:1.92272
[298]	validation_0-merror:0.00702	validation_0-mlogloss:0.11112	validation_1-merror:0.43269	validation_1-mlogloss:1.92251
[299]	validation_0-merror:0.00702	validation_0-mlogloss:0.11074	validation_1-merror:0.43242	validation_1-mlogloss:1.92221
[300]	validation_0-merror:0.00698	validation_0-mlogloss:0.11033	validation_1-merror:0.43214	validation_1-mlogloss:1.92178
[301]	validation_0-merror:0.00698	validation_0-mlogloss:0.10991	validation_1-merror:0.43269	validation_1-mlogloss:1.92154
[302]	validation_0-merror:0.00684	validation_0-mlogloss:0.10953	validation_1-merror:0.43269	validation_1-mlogloss:1.92113
[303]	validation_0-merror:0.00684	validation_0-mlogloss:0.10914	validation_1-merror:0.43325	validation_1-mlogloss:1.92075
[304]	validation_0-merror:0.00684	validation_0-mlogloss:0.10876	validation_1-merror:0.43325	validation_1-mlogloss:1.92049
[305]	validation_0-merror:0.00684	validation_0-mlogloss:0.10839	validation_1-merror:0.43381	validation_1-mlogloss:1.92036
[306]	validation_0-merror:0.00684	validation_0-mlogloss:0.10802	validation_1-merror:0.43353	validation_1-mlogloss:1.92014
[307]	validation_0-merror:0.00684	validation_0-mlogloss:0.10765	validation_1-merror:0.43325	validation_1-mlogloss:1.91988
[308]	validation_0-merror:0.00684	validation_0-mlogloss:0.10730	validation_1-merror:0.43325	validation_1-mlogloss:1.91964
[309]	validation_0-merror:0.00684	validation_0-mlogloss:0.10696	validation_1-merror:0.43269	validation_1-mlogloss:1.91928
[310]	validation_0-merror:0.00684	validation_0-mlogloss:0.10665	validation_1-merror:0.43325	validation_1-mlogloss:1.91903
[311]	validation_0-merror:0.00679	validation_0-mlogloss:0.10632	validation_1-merror:0.43325	validation_1-mlogloss:1.91872
[312]	validation_0-merror:0.00679	validation_0-mlogloss:0.10602	validation_1-merror:0.43325	validation_1-mlogloss:1.91835
[313]	validation_0-merror:0.00679	validation_0-mlogloss:0.10572	validation_1-merror:0.43325	validation_1-mlogloss:1.91815
[314]	validation_0-merror:0.00679	validation_0-mlogloss:0.10542	validation_1-merror:0.43381	validation_1-mlogloss:1.91792
[315]	validation_0-merror:0.00674	validation_0-mlogloss:0.10514	validation_1-merror:0.43325	validation_1-mlogloss:1.91764
[316]	validation_0-merror:0.00674	validation_0-mlogloss:0.10485	validation_1-merror:0.43297	validation_1-mlogloss:1.91732
[317]	validation_0-merror:0.00674	validation_0-mlogloss:0.10455	validation_1-merror:0.43325	validation_1-mlogloss:1.91707
[318]	validation_0-merror:0.00674	validation_0-mlogloss:0.10427	validation_1-merror:0.43325	validation_1-mlogloss:1.91681
[319]	validation_0-merror:0.00674	validation_0-mlogloss:0.10398	validation_1-merror:0.43353	validation_1-mlogloss:1.91659
[320]	validation_0-merror:0.00674	validation_0-mlogloss:0.10373	validation_1-merror:0.43269	validation_1-mlogloss:1.91643
[321]	validation_0-merror:0.00670	validation_0-mlogloss:0.10350	validation_1-merror:0.43325	validation_1-mlogloss:1.91623
[322]	validation_0-merror:0.00670	validation_0-mlogloss:0.10323	validation_1-merror:0.43297	validation_1-mlogloss:1.91601
[323]	validation_0-merror:0.00661	validation_0-mlogloss:0.10298	validation_1-merror:0.43242	validation_1-mlogloss:1.91579
[324]	validation_0-merror:0.00661	validation_0-mlogloss:0.10274	validation_1-merror:0.43214	validation_1-mlogloss:1.91558
[325]	validation_0-merror:0.00661	validation_0-mlogloss:0.10248	validation_1-merror:0.43242	validation_1-mlogloss:1.91536
[326]	validation_0-merror:0.00661	validation_0-mlogloss:0.10225	validation_1-merror:0.43269	validation_1-mlogloss:1.91507
[327]	validation_0-merror:0.00661	validation_0-mlogloss:0.10202	validation_1-merror:0.43269	validation_1-mlogloss:1.91482
[328]	validation_0-merror:0.00661	validation_0-mlogloss:0.10181	validation_1-merror:0.43242	validation_1-mlogloss:1.91466
[329]	validation_0-merror:0.00661	validation_0-mlogloss:0.10162	validation_1-merror:0.43158	validation_1-mlogloss:1.91448
[330]	validation_0-merror:0.00661	validation_0-mlogloss:0.10140	validation_1-merror:0.43186	validation_1-mlogloss:1.91428
[331]	validation_0-merror:0.00661	validation_0-mlogloss:0.10118	validation_1-merror:0.43214	validation_1-mlogloss:1.91410
[332]	validation_0-merror:0.00661	validation_0-mlogloss:0.10097	validation_1-merror:0.43214	validation_1-mlogloss:1.91383
[333]	validation_0-merror:0.00661	validation_0-mlogloss:0.10074	validation_1-merror:0.43214	validation_1-mlogloss:1.91360
[334]	validation_0-merror:0.00661	validation_0-mlogloss:0.10052	validation_1-merror:0.43214	validation_1-mlogloss:1.91340
[335]	validation_0-merror:0.00661	validation_0-mlogloss:0.10032	validation_1-merror:0.43186	validation_1-mlogloss:1.91318
[336]	validation_0-merror:0.00661	validation_0-mlogloss:0.10011	validation_1-merror:0.43186	validation_1-mlogloss:1.91306
[337]	validation_0-merror:0.00661	validation_0-mlogloss:0.09994	validation_1-merror:0.43158	validation_1-mlogloss:1.91294
[338]	validation_0-merror:0.00661	validation_0-mlogloss:0.09976	validation_1-merror:0.43186	validation_1-mlogloss:1.91276
[339]	validation_0-merror:0.00661	validation_0-mlogloss:0.09955	validation_1-merror:0.43214	validation_1-mlogloss:1.91255
[340]	validation_0-merror:0.00661	validation_0-mlogloss:0.09933	validation_1-merror:0.43186	validation_1-mlogloss:1.91236
[341]	validation_0-merror:0.00661	validation_0-mlogloss:0.09915	validation_1-merror:0.43214	validation_1-mlogloss:1.91225
[342]	validation_0-merror:0.00661	validation_0-mlogloss:0.09896	validation_1-merror:0.43131	validation_1-mlogloss:1.91198
[343]	validation_0-merror:0.00661	validation_0-mlogloss:0.09881	validation_1-merror:0.43131	validation_1-mlogloss:1.91184
[344]	validation_0-merror:0.00661	validation_0-mlogloss:0.09863	validation_1-merror:0.43158	validation_1-mlogloss:1.91166
[345]	validation_0-merror:0.00661	validation_0-mlogloss:0.09843	validation_1-merror:0.43131	validation_1-mlogloss:1.91141
[346]	validation_0-merror:0.00661	validation_0-mlogloss:0.09824	validation_1-merror:0.43103	validation_1-mlogloss:1.91132
[347]	validation_0-merror:0.00661	validation_0-mlogloss:0.09806	validation_1-merror:0.43103	validation_1-mlogloss:1.91117
[348]	validation_0-merror:0.00651	validation_0-mlogloss:0.09788	validation_1-merror:0.43075	validation_1-mlogloss:1.91097
[349]	validation_0-merror:0.00656	validation_0-mlogloss:0.09772	validation_1-merror:0.43075	validation_1-mlogloss:1.91078
[350]	validation_0-merror:0.00656	validation_0-mlogloss:0.09755	validation_1-merror:0.43047	validation_1-mlogloss:1.91066
[351]	validation_0-merror:0.00651	validation_0-mlogloss:0.09737	validation_1-merror:0.43103	validation_1-mlogloss:1.91047
[352]	validation_0-merror:0.00651	validation_0-mlogloss:0.09718	validation_1-merror:0.43158	validation_1-mlogloss:1.91034
[353]	validation_0-merror:0.00651	validation_0-mlogloss:0.09701	validation_1-merror:0.43103	validation_1-mlogloss:1.91016
[354]	validation_0-merror:0.00656	validation_0-mlogloss:0.09683	validation_1-merror:0.43075	validation_1-mlogloss:1.91002
[355]	validation_0-merror:0.00651	validation_0-mlogloss:0.09667	validation_1-merror:0.43131	validation_1-mlogloss:1.90993
[356]	validation_0-merror:0.00651	validation_0-mlogloss:0.09651	validation_1-merror:0.43075	validation_1-mlogloss:1.90977
[357]	validation_0-merror:0.00656	validation_0-mlogloss:0.09636	validation_1-merror:0.43103	validation_1-mlogloss:1.90970
[358]	validation_0-merror:0.00656	validation_0-mlogloss:0.09623	validation_1-merror:0.43103	validation_1-mlogloss:1.90958
[359]	validation_0-merror:0.00656	validation_0-mlogloss:0.09607	validation_1-merror:0.43103	validation_1-mlogloss:1.90944
[360]	validation_0-merror:0.00656	validation_0-mlogloss:0.09592	validation_1-merror:0.43103	validation_1-mlogloss:1.90930
[361]	validation_0-merror:0.00656	validation_0-mlogloss:0.09574	validation_1-merror:0.43075	validation_1-mlogloss:1.90915
[362]	validation_0-merror:0.00656	validation_0-mlogloss:0.09558	validation_1-merror:0.43047	validation_1-mlogloss:1.90896
[363]	validation_0-merror:0.00656	validation_0-mlogloss:0.09542	validation_1-merror:0.43075	validation_1-mlogloss:1.90879
[364]	validation_0-merror:0.00656	validation_0-mlogloss:0.09528	validation_1-merror:0.43103	validation_1-mlogloss:1.90862
[365]	validation_0-merror:0.00651	validation_0-mlogloss:0.09513	validation_1-merror:0.43075	validation_1-mlogloss:1.90848
[366]	validation_0-merror:0.00651	validation_0-mlogloss:0.09499	validation_1-merror:0.43103	validation_1-mlogloss:1.90833
[367]	validation_0-merror:0.00651	validation_0-mlogloss:0.09485	validation_1-merror:0.43075	validation_1-mlogloss:1.90824
[368]	validation_0-merror:0.00651	validation_0-mlogloss:0.09472	validation_1-merror:0.43075	validation_1-mlogloss:1.90809
[369]	validation_0-merror:0.00651	validation_0-mlogloss:0.09458	validation_1-merror:0.43075	validation_1-mlogloss:1.90799
[370]	validation_0-merror:0.00647	validation_0-mlogloss:0.09445	validation_1-merror:0.43075	validation_1-mlogloss:1.90779
[371]	validation_0-merror:0.00647	validation_0-mlogloss:0.09433	validation_1-merror:0.43075	validation_1-mlogloss:1.90773
[372]	validation_0-merror:0.00647	validation_0-mlogloss:0.09421	validation_1-merror:0.43075	validation_1-mlogloss:1.90761
[373]	validation_0-merror:0.00647	validation_0-mlogloss:0.09408	validation_1-merror:0.43047	validation_1-mlogloss:1.90746
[374]	validation_0-merror:0.00651	validation_0-mlogloss:0.09395	validation_1-merror:0.43047	validation_1-mlogloss:1.90735
[375]	validation_0-merror:0.00647	validation_0-mlogloss:0.09381	validation_1-merror:0.43047	validation_1-mlogloss:1.90730
[376]	validation_0-merror:0.00647	validation_0-mlogloss:0.09370	validation_1-merror:0.43075	validation_1-mlogloss:1.90719
[377]	validation_0-merror:0.00647	validation_0-mlogloss:0.09358	validation_1-merror:0.43103	validation_1-mlogloss:1.90702
[378]	validation_0-merror:0.00647	validation_0-mlogloss:0.09344	validation_1-merror:0.43075	validation_1-mlogloss:1.90683
[379]	validation_0-merror:0.00647	validation_0-mlogloss:0.09331	validation_1-merror:0.43075	validation_1-mlogloss:1.90678
[380]	validation_0-merror:0.00647	validation_0-mlogloss:0.09319	validation_1-merror:0.43103	validation_1-mlogloss:1.90669
[381]	validation_0-merror:0.00647	validation_0-mlogloss:0.09308	validation_1-merror:0.43131	validation_1-mlogloss:1.90661
[382]	validation_0-merror:0.00647	validation_0-mlogloss:0.09296	validation_1-merror:0.43131	validation_1-mlogloss:1.90650
[383]	validation_0-merror:0.00647	validation_0-mlogloss:0.09285	validation_1-merror:0.43186	validation_1-mlogloss:1.90636
[384]	validation_0-merror:0.00642	validation_0-mlogloss:0.09273	validation_1-merror:0.43186	validation_1-mlogloss:1.90624
[385]	validation_0-merror:0.00642	validation_0-mlogloss:0.09263	validation_1-merror:0.43131	validation_1-mlogloss:1.90613
[386]	validation_0-merror:0.00642	validation_0-mlogloss:0.09252	validation_1-merror:0.43158	validation_1-mlogloss:1.90599
[387]	validation_0-merror:0.00642	validation_0-mlogloss:0.09241	validation_1-merror:0.43131	validation_1-mlogloss:1.90590
[388]	validation_0-merror:0.00642	validation_0-mlogloss:0.09228	validation_1-merror:0.43158	validation_1-mlogloss:1.90580
[389]	validation_0-merror:0.00642	validation_0-mlogloss:0.09217	validation_1-merror:0.43131	validation_1-mlogloss:1.90573
[390]	validation_0-merror:0.00642	validation_0-mlogloss:0.09206	validation_1-merror:0.43131	validation_1-mlogloss:1.90562
[391]	validation_0-merror:0.00642	validation_0-mlogloss:0.09194	validation_1-merror:0.43131	validation_1-mlogloss:1.90551
[392]	validation_0-merror:0.00633	validation_0-mlogloss:0.09184	validation_1-merror:0.43131	validation_1-mlogloss:1.90541
[393]	validation_0-merror:0.00633	validation_0-mlogloss:0.09175	validation_1-merror:0.43131	validation_1-mlogloss:1.90534
[394]	validation_0-merror:0.00633	validation_0-mlogloss:0.09166	validation_1-merror:0.43103	validation_1-mlogloss:1.90524
[395]	validation_0-merror:0.00633	validation_0-mlogloss:0.09157	validation_1-merror:0.43131	validation_1-mlogloss:1.90514
[396]	validation_0-merror:0.00633	validation_0-mlogloss:0.09147	validation_1-merror:0.43103	validation_1-mlogloss:1.90502
[397]	validation_0-merror:0.00633	validation_0-mlogloss:0.09138	validation_1-merror:0.43103	validation_1-mlogloss:1.90499
[398]	validation_0-merror:0.00628	validation_0-mlogloss:0.09128	validation_1-merror:0.43075	validation_1-mlogloss:1.90487
[399]	validation_0-merror:0.00628	validation_0-mlogloss:0.09117	validation_1-merror:0.43103	validation_1-mlogloss:1.90472
[400]	validation_0-merror:0.00628	validation_0-mlogloss:0.09108	validation_1-merror:0.43075	validation_1-mlogloss:1.90475
[401]	validation_0-merror:0.00628	validation_0-mlogloss:0.09098	validation_1-merror:0.43075	validation_1-mlogloss:1.90464
[402]	validation_0-merror:0.00628	validation_0-mlogloss:0.09089	validation_1-merror:0.43103	validation_1-mlogloss:1.90451
[403]	validation_0-merror:0.00628	validation_0-mlogloss:0.09080	validation_1-merror:0.43103	validation_1-mlogloss:1.90442
[404]	validation_0-merror:0.00628	validation_0-mlogloss:0.09070	validation_1-merror:0.43103	validation_1-mlogloss:1.90425
[405]	validation_0-merror:0.00628	validation_0-mlogloss:0.09063	validation_1-merror:0.43103	validation_1-mlogloss:1.90422
[406]	validation_0-merror:0.00628	validation_0-mlogloss:0.09055	validation_1-merror:0.43103	validation_1-mlogloss:1.90412
[407]	validation_0-merror:0.00628	validation_0-mlogloss:0.09046	validation_1-merror:0.43103	validation_1-mlogloss:1.90403
[408]	validation_0-merror:0.00628	validation_0-mlogloss:0.09038	validation_1-merror:0.43075	validation_1-mlogloss:1.90396
[409]	validation_0-merror:0.00628	validation_0-mlogloss:0.09029	validation_1-merror:0.43075	validation_1-mlogloss:1.90389
[410]	validation_0-merror:0.00628	validation_0-mlogloss:0.09020	validation_1-merror:0.43047	validation_1-mlogloss:1.90381
[411]	validation_0-merror:0.00628	validation_0-mlogloss:0.09012	validation_1-merror:0.43047	validation_1-mlogloss:1.90374
[412]	validation_0-merror:0.00628	validation_0-mlogloss:0.09003	validation_1-merror:0.42992	validation_1-mlogloss:1.90360
[413]	validation_0-merror:0.00628	validation_0-mlogloss:0.08997	validation_1-merror:0.43020	validation_1-mlogloss:1.90355
[414]	validation_0-merror:0.00628	validation_0-mlogloss:0.08989	validation_1-merror:0.43020	validation_1-mlogloss:1.90349
[415]	validation_0-merror:0.00628	validation_0-mlogloss:0.08981	validation_1-merror:0.43047	validation_1-mlogloss:1.90341
[416]	validation_0-merror:0.00628	validation_0-mlogloss:0.08972	validation_1-merror:0.43075	validation_1-mlogloss:1.90328
[417]	validation_0-merror:0.00628	validation_0-mlogloss:0.08963	validation_1-merror:0.43020	validation_1-mlogloss:1.90321
[418]	validation_0-merror:0.00628	validation_0-mlogloss:0.08956	validation_1-merror:0.42992	validation_1-mlogloss:1.90314
[419]	validation_0-merror:0.00628	validation_0-mlogloss:0.08947	validation_1-merror:0.43020	validation_1-mlogloss:1.90304
[420]	validation_0-merror:0.00624	validation_0-mlogloss:0.08939	validation_1-merror:0.43020	validation_1-mlogloss:1.90299
[421]	validation_0-merror:0.00624	validation_0-mlogloss:0.08931	validation_1-merror:0.43020	validation_1-mlogloss:1.90293
[422]	validation_0-merror:0.00624	validation_0-mlogloss:0.08925	validation_1-merror:0.42992	validation_1-mlogloss:1.90287
[423]	validation_0-merror:0.00624	validation_0-mlogloss:0.08917	validation_1-merror:0.42964	validation_1-mlogloss:1.90276
[424]	validation_0-merror:0.00624	validation_0-mlogloss:0.08910	validation_1-merror:0.42992	validation_1-mlogloss:1.90265
[425]	validation_0-merror:0.00624	validation_0-mlogloss:0.08902	validation_1-merror:0.42992	validation_1-mlogloss:1.90262
[426]	validation_0-merror:0.00624	validation_0-mlogloss:0.08893	validation_1-merror:0.42992	validation_1-mlogloss:1.90249
[427]	validation_0-merror:0.00624	validation_0-mlogloss:0.08886	validation_1-merror:0.42992	validation_1-mlogloss:1.90244
[428]	validation_0-merror:0.00624	validation_0-mlogloss:0.08879	validation_1-merror:0.42964	validation_1-mlogloss:1.90237
[429]	validation_0-merror:0.00624	validation_0-mlogloss:0.08871	validation_1-merror:0.42964	validation_1-mlogloss:1.90232
[430]	validation_0-merror:0.00624	validation_0-mlogloss:0.08865	validation_1-merror:0.43020	validation_1-mlogloss:1.90233
[431]	validation_0-merror:0.00624	validation_0-mlogloss:0.08857	validation_1-merror:0.42992	validation_1-mlogloss:1.90224
[432]	validation_0-merror:0.00624	validation_0-mlogloss:0.08849	validation_1-merror:0.42992	validation_1-mlogloss:1.90221
